doc_id,text,human_labelled
20,"I had a falling out with a friend over the course of a few months, sometimes the event that started it pops into my mind and I end up going over it again.",0
21,I'm lying on the floor and my parents are not at home. I don't feel well and am looking at my arms.,0
22,It a memory of an event that happened in high school. I felt vulnerable and I was being judged and scrutinized by another person. The memory takes place early in the morning at the school library. In total the event is only a few minutes long but it feels longer,0
23,Events of a past relationship,0
24,"past relationships, major downfalls, abandonment, fears about future and current performance",0
25,N/A,1
26,It is not a pleasant memory. It is from a traumatic event. Negative feelings are associated with this event.,0
27,"This event is the moment my mother passed away. I was standing above her in the hospital room holding her hand. I saw her breathing was getting really  erratic and I knew it was time. I just kept telling her it would be okay and that it was her time. I told her I loved her over and over. Her breathing finally stopped, I was crying. My whole family was distraught.",0
28,upsetting to recall it but i only recalled it because i realized how much things have changed since that event which ultimately led to positive emotion,0
29,The memory of my ex boyfriend breaking up with me pops up in my head in many different situations.,0
30,"when I was 16 and I was at a friend's house. we drank a lot of wine, and he started to kiss me. I was uncomfortable. he continued to kiss me even though I asked him to stop, but it was hard for me to move him off of me. I continously remember the feeling of pushing him off but it not doing anything",0
31,"Possibly scratched a car when out with a friend, felt bad about it, the owner came out, felt scared,  apologized and walked away.",0
32,It was unpleasant. Did not help me at all.  Would have been better without it.,0
33,"Memory of Summer school when i lived in Jamaica Memory of my cousin who is now a doctor, graduating medical school",0
34,"I told a girl she looked ""different"" without makeup. I hurt her feelings and I felt guilty afterward.",0
35,Unpleasant memories of the hard times I had in middle school and high school.,0
36,anxiety inducing situations,0
37,it is slightly traumatic. I often think about this event if I am not doing something. Often feels like I am reliving the event through day-dreaming,0
38,There are two memories that pop into my mind quite frequently. The first is of a fight I had with my father a few years ago when he became so angry he tried to hit me. The second is of a time when a person who I worked with at camp and had grown quite close to took advantage of me sexually.,0
39,"One of my friends has tried to kill herself several times this year. Whenever I'm stressed out by something that might go wrong in relation to her that's very small, I get flashbacks of the most severe incident. These are often far less significant things that could go wrong like I'm making popcorn for us and accidentally burned it, or I was bleaching her hair and was terrified that I'd mess it up.",0
40,Decline to respond.,1
41,It was a place where I have been with a former boyfriend who used to visit me in Waterloo when we were together. I would have recollections of what we did in that certain place then feel bad for what happened between us over again.,0
42,I went to my then boyfriend's Halloween party in first year but drank too much alcohol and passed out on his bed for the entire party.,0
43,a traumatic situation concerning sexual misconduct toward me as a small child by someone extremely close to me.,0
44,"A memory I have from middle school of a teacher who made me feel really uncomfortable. He pressured me into participating in a voluntary presentation in front of the class that I really didn't want to do. He kept telling me he expected me to do it and that it would help me ""open up"" more. I didn't want to disappoint him so I did it but hated every minute of it and was super embarrassed. That memory pops into my head randomly all the time.",0
45,Breakup with ex girlfriend and run-ins afterwards,0
46,"it was a sexual encounter that went wrong between a friend and myself, something i regret and wish i could forget. i find it enters my mind randomly, but more so if i feel embarrassed about something, if i think about that person ever, or if im bored and nothing is happening and it sneaks in like a surprise,",0
47,"The night I broke up with my girlfriend. I remember this night frequently, and events leading up to the event and right after.",0
48,Conversations with my ex-girlfriend,0
49,A boy is laying in bed with me telling me he loves me and we will never me. He is looking so intensely into my eyes. He brushes my hair away from my face and kisses me.,0
50,what happened in an assault,0
51,"embarrassed myself at an event, drunk",0
52,keep recalling negative encounters with an ex that happened before we dated,0
53,"I get on a cycle of failures, specifically instances where I acted in a way I regret. It goes from the most recent one to several in my past. One of them is how I reacted to someone I thought had had enough to drink at a party and another is hitting a girl when I was little.",0
54,Argument with long time childhood friend that ended with him physically assaulting me.,0
55,During my co-op term I contributed to discussions on a certain policy. Due to my lack of experience many of my ideas weren't plausible but I did try to keep trying to contribute anyway.,0
56,"Most memories are similar being that they are work related and I work in a stressful job with a very bad manager, I stay for the good money but I constantly have conflict with my manager",0
57,Assault,0
58,My roommate had withheld a $230 deposit he owed me for 4 months. The conversation I had with him after I retrieved my money was him playing the victim and saying he just wanted to talk before he gave me the money back.,0
59,"I vividly remember the event. Often times, I find myself reliving the traumatic event. This gets in the way of my day to day functions.",0
60,"Often I am going over a list of things to do in my head when this memory pops into my head. I lived in a condo apartment in which I sublet out to someone for 4 months. The landlord charged me for the final month instead of the subletter. Unable to handle confrontation it took on and off communication with the landlord and the subletter before I gave up and let the payment go, losing a substantial amount of money. The stress of it being unresolved to this day, and being out a first and last amount of rent still bothers me and makes me uncomfortable, causing this memory to transpire whenever I think of important tasks to accomplish.",0
61,Being made fun of in high school. Answering a question in class and being made fun of/everyone laughing.,0
62,It is an embarrassing moment from when I was drunk. I said something stupid to one of my friends and we have not discussed it since. I'll think about it sometimes and become anxious and try to think of something else.,0
63,I was talking to my aunt and I mistakenly insinuated that her kids were very spoiled.,0
64,I'm huddled in a corner (crying) and people are purposely ignoring me.,0
65,"A night terror. I recollect one specific time when I could not move my body while I was half asleep in my bed. During this period I was feeling as if something malevolent was going to enter my room. It never actually happened, but that constant dread was there.",0
66,"Memory of the event/sub-sequence of events relating to my father's bicycle accident and his subsequent quadriplegia. The hospital visits, the emotional stress, and the relational fallout and estrangement from family members. Having to mourn the loss of a father, while never being given the ability able to move forward. Watching him experience a fate worse than death; indefinite life in a hospital bed as a conscious but immobile husk of his former self.",0
67,The most frequent recollection that has recurrently popped into my mind by myself within the most recent year is one of having an argument with an ex-boyfriend. The memory of what he said to be comes to my mind frequently and takes a hit on my self-esteem.,0
68,"Sometimes I'll just be sitting there, or maybe something will prompt this memory somehow without directly trying to remember it.  It's usually something embarrassing, or some problem I've been trying to work through.",0
69,"I volunteered with my co-op company at a school to teach kids and play some activities with them. Being in that high school made me feel as if I was in high school, and it made me felt uncertain. I wasn't able the muster up the confidence to provide encouragement for the kids or engage with them as I should have.",0
70,Staying up all night at school,0
71,"Memory of heading home on highway 7 after work and being closely followed by a black SUV. A pickup truck drove towards me in the other lane and behind it, a coyote ran across the street. I braked but noticed in my rearview the SUV wasn't slowing down and was getting closer by the second. Oncoming traffic was still coming so I closed my eyes hoping I wouldn't hit the coyote or be hit.",0
72,"memory of dog passing away, father in hospital - sad, anxious, hopeless",0
73,i think about the same event for a week and then another event takes it place. most recently i was thinking about how i embarassed myself infront of class by not thinking before talking and i feel like i left a bad impression,0
74,a close friend making fun of me,0
75,Saying no to a friend when he asked me to prom in front of a large group of people,0
76,"An argument that happened in my family. Lasted over a week, but the main parts we're destressing. It was recent",0
77,Memory of picking which offer for university to accept.,0
78,My mother's suicide. She took sleeping pills. I sometimes see her lying on the bed just as I walked into the room.,0
79,-,1
80,"I was meeting a new group of people and I didn't shake certain people's hands. I was called out for this. In awkward situations, this pops into my head.",0
81,Social situation where I was talking to a group of girls. Where I mad an unfunny joke and no one laughed. My friend had to bail me out of that situation.,0
82,"parents divorce, good memories with ex girlfriend",0
83,I tore my PCL and couldn't dance.,0
84,Driving on the highway on a snowy day around 9pm and lost control of the car. The car begins to spin in circles and stop diagonally across two lanes. I watched two trucks driving towards where I was.,0
85,i asked a question and counterpart answered without much emotions,0
86,"The negative feelings (emotions) associated with the physically painful event resurfaced a few times a few months ago, however has since subsided.",0
87,"I was at a party talking to a guy I just met. Whenever we would end up alone, I would become uncomfortable. He tried to reassure me he wasn't that type of guy.",0
88,Remembering seeing my highschool graduation quote in the yearbook. It was a really embarrassing quote looking back on it. I feel very uncomfortable whenever it comes to mind.,0
89,Finding out when a friend of mine passed away. The moment often pops up and I go back to feeling the same emotion (grief) and I think about the pain he must have been in at the accident that caused his passing.,0
90,My boyfriend cheating on me,0
91,Pressure from my mom as a child to have to get a good education and job in the future.,0
92,My boyfriend breaking up with me.,0
93,"This recurrent memory stems from either feeling of insecurity, rejection, or emotional pain. They spontaneously come to mind during times of study, or getting ready and disrupt my productiveness and ability to function.",0
94,family problems.,0
95,"Earlier this year I was sexually assaulted, so needless to say this event has been on my mind a lot.",0
96,The memory was accompanied by negative emotions.,0
97,My father passed away over a year ago and I sometimes get memories of when he was in a comma and the moment that he passed away,0
98,conflict with friends what a few years ago. The different days and events that escalated the conflict. The conversations before the conflict as well as the ones attempting to resolve it.,0
99,"I became quite depressed towards the end of a school term and this was impairing my ability to study. I went into the following term with a large backlog of incomplete assignments. I failed to complete some of these assignments and consequently, failed a course.",0
100,"Past events where I was very different, with different life goals, and a different set of operating principles",0
101,I forgot something at home but the bus was going to be there in a few minutes so I ran back. I tripped and fell onto my hands and knees and instinctively looked around to see if anyone saw. I made eye contact with the driver in their car at the stop sign right beside me. I got up immediately and ran to my house...,0
102,I said something kind of dumb/silly to a colleague and the memory has been popping into my head regularly for the last two months in full colour (I can perfectly picture the room and situation in visual detail).,0
103,I just get memories of partners I've dated in the past.,0
104,no. i hate remembering. I don't want to write it down.,1
105,"I think often about the day I found out my dad has had a heart attack while on his way to work, and the aftermath of that event. I was at home working on some software language lessons when I got the phone call that my dad was in the hospital. I remember feeling shocked, confused and in denial. I felt guilty as well because I had been exposing my dad to a lot of pressure in the weeks leading to his heart attack",0
106,"My best friends dad passing away at the age of 47 by a heart attack. It happened when we were in high school, but it comes to my memory out of no where sometimes.",0
107,"being chased in a yellow maze, ended up in bathtub, got caught, and woke up",0
108,assault,0
109,When my ex-boyfriend started ghosting me. We got into a couple arguments. It did not end on a good note.,0
110,Reliving scary suicide attempt,0
111,prefer not to say,1
112,I'm waiting outside my tutors house for my dad to pick me up but he's late,0
113,"my reoccurring memories often have a theme to it, it is my elementary school experience. I was bullied from JK-Grade 8, and in high school I repressed my memory of many terrible situations that occurred. I now vividly remember small,  but hurtful interactions.",0
114,A really close friend of mine cutting me out of their life. Not easy.,0
115,I went to a St Patrick Days party with some high school friends and a guy I liked. The night went sour after my crush got into an argument with one of our friends. I left the party early without saying good-bye properly.,0
116,I cannot remember right now.,1
117,being with a friend,0
118,"I said the word ""retarded"" at work to a coworker a few months ago. I felt immediately horrible and embarrassed and apologized. The coworker said that it's understandable to make slips like that but the important thing is that one is accountable and corrects their language.",0
119,Someone left,0
120,"Though there are no triggers for it that I am aware of, and no distress accompanying the memory, the memory of my father chasing me, my mother and brother down our driveway with what we thought was a gun continuously pops into my head. It is a specific moment I remember in slow motion, when I was halfway through the driveway screaming ""he has a gun"" and my mother turned around and ran. Again, I don't experience distress with this memory, but it pops up all the time.",0
121,My boyfriend broke up with me over text,0
122,mistakes ive made while driving like accidentally cutting someone off,0
123,I get anxious and stressed about how this experience affects every aspect of my life. It is constantly on my mind and I often think about how it will affect my future. It greatly impacts my self esteem negatively.,0
124,I had a roommate conflict and it took quite a long time to settle it and things were very awkward and tense. We had very different personalities and beliefs and found it difficult to talk to each other to resolve issues.,0
125,"I was 8 years old when a trusted adult, later finding out he was a pedophile drunk, adjusted my bra strap when I was playing a Wii Fit game with my best friend.",0
126,I was reminded of how the events unfolded and the feelings i had attached to them - strengthening my desire to live better,0
127,"I was looking at a calendar which had a picture of a cat. Then, I began to feel immense emotion about my dog who passed away last year. I then began to cry.",0
128,best friend told me she was going to be dating my ex,0
129,a time i felt very anxious and sad,0
130,Usually memories where I was emotionally negatively affected pop up the most. they pop up when in similar situations that remind me of the past. sometimes they pop up when I'm just not thinking of anything.,0
131,My boyfriend and I were in the car when someone in the other line shout at us with very rude and offensive words because he thought my boyfriend was not obeying the rules. Then he judged us because of our car and he thought we don’t work hard.,0
132,"The last one I remember was when I was about 5 I thought I got lost from my parents at the zoo.  Since then, sometimes randomly throughout the year this memory comes back.  (I wasn't actually lost, I thought I was)",0
133,Events that happened in elementary school that I had otherwise forgotten about,0
134,It was a clear night and it was a holiday. There were lights everywhere. A loud boom rumbled.,0
135,Being in a car accident,0
136,"Chatting online with a new friend.  Feeling strongly that I would place a great deal of trust in them.  Yet being rended inside, sensing that I would try to drift apart from them within a year's time.",0
137,I often recall memories from the past that are sad or have made me embarassed.,0
138,"two main ones,  1 being the drama in the summer with immature friends  and 2. when I was physically and sexually used by someone",0
139,"I remembered most of the events that led to significant distress in my life, for example being discriminated against, taken opportunities away from, physically, mentally and emotionally hurt and abused, losing friends because of trust issues and heartbreak, trauma overall etc.",0
140,"I remember a particularly long period of time I spent in a hospital, especially when there are certain smells around. More specifically I remember walking around the ward with my IV. I'm not entirely sure the kinds of memory intrusions I experience fall into the description of what's outlined here, most of them have to do with particular people rather than specific events with those people......",0
141,Being abandoned by my mother at the age of 7,0
142,private...,1
143,An individual was violating my private space without my permission which made me feel unsafe.,0
144,Memory from my childhood of a situation with a distinct emotion attached.,0
145,"i remember feeling angry. Not understanding why, there is a lot of resent. I remember feeling reckless and emotional. The individual accused me of things i had not done, and was very persistent. This reminds me of feeling crazy and desperate.",0
146,the memory is about a time I was in distress. I was extremely sad and i didn't know how to deal with these feelings. My family and friend were a huge support,0
147,Fighting with my mom about school and what my future holds.,0
148,Sometimes its just like a massive dejavu moment. So i could be walking down the stairs at school and them I could hear a sound and suddenly ill have a memory of already being here or already knowing that I've experienced this before.,0
149,I think often about the night of my high school prom. My girlfriend at the time and I got into a huge fight at the after party and I remember how I felt that night and the day after. I felt so sick the day after I could barely eat. That night often comes up in my memories when I get sad and I remember how bad I was treated by the girl I used to date in high school.,0
150,It is difficult to remember which events I remember when I am trying to remember them.,1
151,Embarrassing stories.,0
152,The time that I sang aloud to a song that was playing in a movie that we were watching in class in the 9th grade. I regret that entirely and find it very embarrassing.,0
153,A memory that pops into my mind is of a funeral I attended for someone close to me. This memory pops into my mind when I feel sad for the people who experienced this loss and when I am thinking of the person that I lost.,0
154,Remembering things a person has said and done in the past.,0
155,"I am in a coding class in high school after some recent tension with a friend. They had been rather temperamental lately and I decided to distance myself from that. I'm not sure if I should have stuck through and been a bit more supportive instead, but here I am doing something stupid with someone else and I can see them looking at me.",0
156,When I meet certain people who remind me of those individuals in my past either through their behaviours or even simply their appearances.,0
157,Decline to answer,1
158,"In general, situations where i have made a mistake or I have been uncomfortable pop into my head",0
159,Memory involves a traumatic experience from my past and moderately good experiences from the near past,0
160,The memory is of a confrontation with a close family member during the summer. The conversation brought a lot of feelings to the surface for both parties and ended negatively. The situation had a small ripple effect into other activities going on in my life and required the parties to meet again and make up.,0
161,"Waking up, finding out you're about to lose someone you admired and cared for, and was a good friends to you.  Being with the other people who are going through the same things as me.",0
162,"It's often similar things - my brain seems to enjoy torturing me with memories of situations in which I was uncomfortable or said something I regret or things like that, and it will occasionally recur these memories back to me on a loop for some amount of time, annoying me about what I did or what happened until I feel really bothered by it (even though the situation is gone, most likely from the recent past but up to years and years earlier, and I clearly cannot do anything to change it).",0
163,"i felt like i was there again. and it wasn't a good feeling, because it was something tragic that happened.",0
164,Its hard to say which they are as I am not currently thinking about them to per say right now.   Lots about my family situation  My future  My current happiness  Love relationships  THings along those LineS,0
165,"a time where i was frustrated w a friend and we ignored each other when we briefly saw each other at school, the look on this friends face is something i remember alot",0
166,"In this moment I can't think of very specific details of these events, but they usually have to do with the situation I am in (either at school, at home, or at work). Maybe I'm not entirely getting at what was intended by this",0
167,Memories of a breakup,0
168,The passing of my grandpa and mistreatment by paramedic staff,0
169,"Almost got into a fist fight at a gas station. A random observer intervened and stopped it before things really got going. The memory seems to randomly intrude into my consciousness every once in a while, without any consistent triggers. Im still not sure what the right thing to do in that situation was, and it bothers me. Part of me is happy things cooled down before they got out of control - part of me regrets not sending the other guy to the hospital. I know that sounds bad, but you weren't there.",0
170,i think about a time i felt compromised,0
171,situation having to do with a conflict at work with someone who also got promoted the same time I did. It was tough to go through and emotionally and mentally exhausting. I was happy when I returned to school to get away from it. I feel like I am in a much better environment.,0
172,"When I was a child, I received a telescope for Christmas from distant relatives. I was ungrateful and initially refused the gift. I still feel embarrassed just thinking about it.",0
173,It happened during Frosh week at Waterloo last year. My best friend and I got into a serious argument about something personal and I completely cut him off after that day.,0
174,I'm sitting on the airplane on the way to India. I am really young. My mom is sleeping and I don't want to disturb her but I feel nauseous.,0
175,My mother attempted suicide multiple times. Calling the ambulance or being at the hospital frequently are frequent recollections of mine that intrude my thoughts when I let my mind wander.,0
176,"Dinner party in France, where a dad was very drunk and saying weird things. Started dancing, I felt very uncomfortable.",0
177,"I became ill when I was very young and had to ride in an air ambulance to be transported to hospital. Being very young, I was afraid being away from my parents for that time. I spent 2 weeks in the hospital before I was released.",0
178,all about some extremely embarrassed moment,0
179,a sexual harassment trauma incident.,0
180,I remembered that I used to listen to a song that I liked at the time. I don't like that song now that I think about it. I cringed at having liked that song.,0
181,Things in the past that I've done that I am not too proud of or now thin I could have done a different way.,0
182,Some embarrassing experience or mistake happened in before will always trigger by either something similar or come into my mind spontaneously.,0
183,This past experience makes me more aware of my health in terms of my diet and what medications I take. It instills fear of not being able to complete schoolwork and achieve my career goals.,0
184,A memory from high school keeps popping into my mind by itself. It involved a peer that I liked at the time and a situation in class. We were reading a Shakespeare novel and he embarrassed me in front of the class.,0
185,I verbally mistreated a friend.,0
186,"some fragments come to mind, especially when sleeping, then wake me up",0
187,Childhood trauma. Taking me back to the moments it happened and suddenly feeling as if I was there.,0
188,"I was walking out of a university building, with earbuds in my ears. Crying and listening to a sad song about how failures are the bridges to a hopeful future. This was the day that I experienced my first academic failure.",0
189,n/a,1
190,bad,0
191,My friend no longer talking to me over something that I did not do and now refusing to talk to me so I can't even fix it,0
192,I said something really mean to a friend. I was being rude and it was uncalled for,0
193,embarrassing myself in front of my family,0
194,very rude customer at work,0
195,I was in class with my ex-crush. She played with my feelings. She said a lot of horrible things to me.,0
196,"On a trip I took with 2 friends at the end of the summer, we were staying at one of their houses, and they asked me once if I had any laundry to do.",0
197,"Within the most recent year, the memory of an event that continuously returns to my thoughts is an event in which I gave advice to a relative and they took that advice out of context and followed it incorrectly. When that event resulted in an issue, they blamed me for the inadequate outcome. As a result, I was stuck in a loop of self-hatred for about a year and a half, but I eventually reminded myself that the situation was not my fault, not in my control, and also technically not my problem. Thus, I was able to move past the self-hatred portion, but I still thought back to the incident quite often, usually unconsciously, and felt upset for lengthy periods of time.",0
198,"This recurring memory related to an event a couple years ago. It was in relation to a death in the family. The recurring memory relates to the entire day, before and after the persons death.",0
199,Im not sure,1
200,It was extremely awkward and embarrassing.  I would rather die than have it happen again.  I hate remembering it.,0
201,its an embarrassing event from my childhood sometimes ill be in class or at the gym or see something that triggers it it makes me physically cringe,0
202,"The memory of walking into the kitchen to see my brother hugging my best friend for an inappropriate amount of time (they had been hugging when I left the kitchen). I asked what was going on and then he hesitantly let her go and said ""Nothing"", with a stupid smirk on his face, while my friend looked awkward as hell. Granted, part of my recurrent recollection of this memory is due to the fact that I am undergoing family therapy in relation to issues with my brother.",0
203,I was sexually assaulted during a dorm party in my first year of university.,0
204,Being sexually assaulted,0
205,"The most frequent recollection is of a sexual assault that happened 4 years ago. The memory sometimes just pops into my head, even though it is unwanted.",0
206,Was a tough situation but I dealt with it well. I was happy to have certain people around me during it. I'm glad it ended when it did.,0
207,the memory the reoccurs the most is when my dad had a stroke. It was when I was younger but it was a big change on my life. I think about the night it happened and then visiting him in the hospital after.,0
208,Issues with my partner.,0
209,"conversations with my friends at home on the bed, repeating the same things",0
210,My breakup with my boyfriend keeps popping up out of nowhere. His words echo in my head,0
211,Being bullied at the kids in kindergarten.,0
212,no,1
213,I was playing in the semifinals of my ultimate tournament. I lost my cool and made a bad foul call and said some dumb things. I really pissed off my defender and felt horribly for what I did.,0
214,"It was a bad sexual experience that I regret having. It occured just over year ago and has come back unexpectedly several times, the most recent being a few days ago.",0
215,A memory of a bad break-up.,0
216,I am not prepared to disclose this at the current time.,1
217,"Recently, I was in a car accident. I was sitting in the front passenger seat of the car, while my mom was driving and my dad was sitting in the back seat. We were stopped at a red light, when a SUV truck decided to not stop for the red light and rammed the truck right into the rear end of our car. I remember the car bouncing back and forth hitting both cars on both sides and I remember my neck getting whip-lashed at that moment",0
218,memory was very accurate,0
219,It is a very vivid memory due to the event having a huge impact on the current period of my life. It never actually leaves my mind. It tends to keep me distracted from 9important tasks and affects my concentration and memory.,0
220,"I had just gotten my first bad mark in a crucial academic year. As a straight A student, I was distraught. I questioned my effort, the teacher's grading and my mental state deteriorated greatly. The memory of me crying and making sure this bad mark would be my last pops into my head frequently now.",0
221,"I sometimes remember the times when I felt very sad about something that I regret. Like I might be driving or walking and then all of a sudden I just remember that time I said something to someone that I now regret, which makes me feel upset.",0
222,I think about the night my girlfriend broke up with me. It was over the phone. I was on the couch at my house.,0
223,dates that I had with an ex-girlfriend when she visited me from Quebec this past summer,0
224,This memory is of some of the difficulties that I faced in the past few years. I thought about how I didn't want the same issues to repeat and  how I could change myself and what I could do to avoid the mistakes I have previously made so that i don't struggle the same way again.,0
225,I dont remember,1
226,"A few different recurring memories that relate to guilt and feeling victimized by decisions I made out of insecurity and feelings of not being understood or deeply cared for, come to mind. The invasiveness of the recurring thought involves the darkness and loneliness I felt as I reminder that it may always be part of me.",0
227,"the situation that I was asked previous to this section of the survey, was one that sparked intense emotions. my ex-bestfriend sabotaged my outfit and admitted to doing so in order to look better than me, also admitting that she was jealous. all while beginning her to call me the new nickname she gave me... Barbie.",0
228,"A woman yelled at me on the street because she thought I scratched her car with a shopping cart, though I'm fairly sure I didn't.",0
229,"I randomly remember alot of random old memories from my past without trying to, my most recent one was about when I was 4 years old. I was getting a needle, I don't remember what for, and the nurse couldn't find my veins. Because of this she kept forcefully jabbing my arm and I screamed in pain for a long time.",0
230,my boyfriend goes to a lot of parties without me so I always imagine that he tells everyone bad things about me. I end up finding out and confront him about it in which he says he didn't mean it.,0
231,Finding out i was being cheated on,0
232,"The person that I loved the most hugged me on the snowfield, and we kissed and laughed. Then he drived his car with me to the supermarket, we bought a lot of food and daily supplies.",0
233,Depression due to relationships as well as memories of failing school and letting down family by not raising awareness to my mental state.,0
234,It all involves the same guy that I met when I was backpacking around Europe.,0
235,It's a memory from awhile back that upsets me and seems to keep popping up. Certain things such as getting upset probably trigger it to pop up again. It's definitely not a memory I want to keep coming up.,0
236,"A breakup with my first boyfriend. The relationship was bad and there was a great deal of emotional abuse . The breakup involved the police and lots of fights following with my family and friends, 2 years after this event I am still dealing with the drama and backlash.",0
237,"I usually have recollection of the time I dislocated my shoulder , during a basketball game I hit down on the ball and my shoulder popped out. I keep remembering that during the day very vividly",0
238,The memory I remember is the few moments before I got into a bike accident that gave me a serious concussion.,0
239,"I went to the house of my ex-girlfriend 2 days after a fight during which we separated. When she answered the door she looked at me with disgust, and stated that it was unacceptable and manipulative to show up unannounced after the breakup. She told me to leave, and went back inside the house. I left.",0
240,"This memory is in particular to my first memory. Unlike most people, my first memory is not a happy memory. I am reminded of close relatives emotional pain. I am also reminded of my empathy at a young age.",0
241,"The memory is of me at my grandparents house when I was about 5 years old saying goodbye to my parents as they were leaving for vacation. Afterwards, I felt very empty and hopeless and lonely. I also can vividly remember the room that I merely sat in after they left, not doing anything but feeling saddened by my temporary loss that felt like it would be eternal.",0
242,"This is a memory about a band performance that I had about 6 years ago. I was performing a trumpet solo, but got nervous resulting in a really bad tone and incorrect notes. I remember feeling embarrassed and mad  at myself for being scared.",0
243,"A friend asked me to be his boyfriend and I panicked and I said yes. I keep remembering the moment in class when everyone found out and said they always anticipated that this would happen. My best friend told me she was really happy for me, but I was unhappy dating him.",0
244,memories from my exam days when i used to sleep less. I also used to skip food and also had a brief fight with my parents.,0
245,"The memory is of a classmate telling me that I could leave a certain optional after-school fundraising event if I wanted to. This person was  close to the friend that invited me to the event, and was personally connected to the goal of the fundraiser, so I felt compelled to join despite the fact that the event took place on my birthday. When I was told that I should leave if I wanted to, I initially thought it was a roundabout way of telling me that they would prefer it if I left, and it was only later that they clarified that they thought I might have wanted to spend my birthday doing something else.",0
246,Really bad interview experience I had.,0
247,"It was when I was travelling, I recollected the day, weather, time, and how I felt. I was about 12 and I was in Florida. I was confused and it was night time.",0
248,I kept recalling the memories when I left home for university and the scene when I said goodbye to my families.,0
249,memories of my grandpa who passed away recently,0
250,My dog was killed by another dog and I was there to see it.,0
251,piano accompaniment for a school choir I hadn't practiced for,0
252,"when I was about two to three years old, my grandfather was sick so my mother has to send me to my grandmother's house. She was mentally ill and would abuse me and my cousins for almost no reason, when she got emotional she would hit us with whatever in hands. She treated us like animals.",0
253,"Phone call with my fiancee, I had explained that I was feeling nervous about our upcoming wedding. We talked and mutually decided to call off the wedding. I now believe this to be one of the biggest mistakes I've ever made as my reasoning and thoughts were being manipulated by one of my friends at the time.",0
254,-,1
255,"It was a memory of a day during Orientation Week. I was introducing myself to 3-4 other people who I was placed in a group with. Throughout I had spent time with this group of people and we had talked but then later on I had to leave an event early because I was feeling sick. And when walking back to my dorm, I kept thinking that they would talk more and become better acquaintances or friends without me there.",0
256,"In grade 7 my best friend moved to a new house. So, she went to a different school. She lived pretty far so I was really sad.",0
257,I was standing outside in snow days and playing snow with my friends. After that we went to school. We walking under the sun. I even can feel the temperature of the sun light.,0
258,memory of fight with boyfriend,0
259,"A friend I was avoiding for extenuating circumstances asked to speak with me alone at a stressful time. I declined, and when the friend expressed annoyance and contempt I snapped at them. They stormed off and that was the last time we ever talked. Previously we were close friends for a decade.",0
260,This recollection was during the time that I was enrolled in a daycare facility. I grabbed a toy on the ground and turns out it belonged to someone else. This made the child angry and they bit my hand which had left a scar.,0
261,"It is a strongly embarrassing memory that made an impact on me psychologically as a child, it popped up as I was trying to fall asleep",0
262,standing on my friends porch drunk at a party feeling terrified,0
263,"The most traumatizing experience of my life, almost getting mugged by bandits on an abandoned hill. Me and my friends managed to get away with only knife cuts.",0
264,I was watching television when I got some news. I immediately felt upset and started to cry. I never felt the way I felt before. I still get the same or similar feeling when I recall that memory,0
265,"I went through a really bad break up. The next couple months were the hardest of trying not to think about it. I eventually got over it but when I would pursue a new romantic situation, recollection of my past relationship would slip into context.",0
266,getting a text message from someone and replaying the conversation again and again in my mind,0
267,A seizure that I had,0
